column,nonzero_cohort_fused,matrix_rows_cohort_fused,nonzero_after_align,matrix_rows_after_align,nonzero_after_family_support,matrix_rows_after_family_support,nonzero_after_low_information_prune,matrix_rows_after_low_information_prune,nonzero_after_leakage_prune,matrix_rows_after_leakage_prune,dropped_by_low_information_prune,dropped_by_leakage_prune
perm__android_permission_flashlight,38,1226,38,1226,33,1001,33.0,1001,33.0,1001,False,False
perm__android_permission_force_stop_packages,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__android_permission_forefground_service,4,1226,4,1226,0,1001,,1001,,1001,True,False
perm__android_permission_foreground_service,466,1226,466,1226,396,1001,396.0,1001,396.0,1001,False,False
perm__android_permission_foreground_service_camera,7,1226,7,1226,7,1001,7.0,1001,7.0,1001,False,False
perm__android_permission_foreground_service_data_sync,12,1226,12,1226,9,1001,9.0,1001,9.0,1001,False,False
perm__android_permission_foreground_service_location,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__android_permission_foreground_service_media_projection,56,1226,56,1226,56,1001,56.0,1001,56.0,1001,False,False
perm__android_permission_foreground_service_microphone,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__android_permission_foreground_service_phone_call,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__android_permission_foreground_service_remote_messaging,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__android_permission_foreground_service_system_exempted,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__android_permission_get_accounts,125,1226,125,1226,79,1001,79.0,1001,79.0,1001,False,False
perm__android_permission_get_accounts_privileged,10,1226,10,1226,10,1001,10.0,1001,10.0,1001,False,False
perm__android_permission_get_installed_apps,11,1226,11,1226,11,1001,11.0,1001,11.0,1001,False,False
perm__android_permission_get_package_size,35,1226,35,1226,10,1001,10.0,1001,10.0,1001,False,False
perm__android_permission_get_tasks,106,1226,106,1226,67,1001,67.0,1001,67.0,1001,False,False
perm__android_permission_grant_runtime_permissions,11,1226,11,1226,11,1001,11.0,1001,11.0,1001,False,False
perm__android_permission_hide_overlay_windows,12,1226,12,1226,12,1001,12.0,1001,12.0,1001,False,False
perm__android_permission_high_sampling_rate_sensors,9,1226,9,1226,9,1001,9.0,1001,9.0,1001,False,False
perm__android_permission_inject_events,25,1226,25,1226,25,1001,25.0,1001,25.0,1001,False,False
perm__android_permission_install_packages,72,1226,72,1226,65,1001,65.0,1001,65.0,1001,False,False
perm__android_permission_install_shortcut,7,1226,7,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__android_permission_interact_across_users_full,14,1226,14,1226,14,1001,14.0,1001,14.0,1001,False,False
perm__android_permission_internet,602,1226,602,1226,484,1001,484.0,1001,484.0,1001,False,False
perm__android_permission_kill_background_processes,122,1226,122,1226,98,1001,98.0,1001,98.0,1001,False,False
perm__android_permission_local_mac_address,10,1226,10,1226,0,1001,,1001,,1001,True,False
perm__android_permission_lock_device,10,1226,10,1226,0,1001,,1001,,1001,True,False
perm__android_permission_manage_accounts,21,1226,21,1226,20,1001,20.0,1001,20.0,1001,False,False
perm__android_permission_manage_activity_stacks,11,1226,11,1226,11,1001,11.0,1001,11.0,1001,False,False
perm__android_permission_manage_app_ops_modes,12,1226,12,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__android_permission_manage_device_admins,11,1226,11,1226,11,1001,11.0,1001,11.0,1001,False,False
perm__android_permission_manage_external_storage,50,1226,50,1226,27,1001,27.0,1001,27.0,1001,False,False
perm__android_permission_manage_own_calls,21,1226,21,1226,18,1001,18.0,1001,18.0,1001,False,False
perm__android_permission_manage_usb,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__android_permission_manage_users,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__android_permission_modify_audio_settings,134,1226,134,1226,105,1001,105.0,1001,105.0,1001,False,False
perm__android_permission_modify_phone_state,48,1226,48,1226,37,1001,37.0,1001,37.0,1001,False,False
perm__android_permission_mount_unmount_filesystems,42,1226,42,1226,40,1001,40.0,1001,40.0,1001,False,False
perm__android_permission_nearby_wifi_devices,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__android_permission_nfc,19,1226,19,1226,19,1001,19.0,1001,19.0,1001,False,False
perm__android_permission_nfc_preferred_payment_info,11,1226,11,1226,11,1001,11.0,1001,11.0,1001,False,False
perm__android_permission_nfc_transaction_event,6,1226,6,1226,6,1001,6.0,1001,6.0,1001,False,False
perm__android_permission_override_wifi_config,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__android_permission_package_usage_stats,82,1226,82,1226,68,1001,68.0,1001,68.0,1001,False,False
perm__android_permission_peers_mac_address,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__android_permission_permission_name,11,1226,11,1226,11,1001,11.0,1001,11.0,1001,False,False
perm__android_permission_post_notifications,141,1226,141,1226,128,1001,128.0,1001,128.0,1001,False,False
perm__android_permission_prevent_power_key,6,1226,6,1226,6,1001,6.0,1001,6.0,1001,False,False
perm__android_permission_process_outgoing_calls,84,1226,84,1226,61,1001,61.0,1001,61.0,1001,False,False
perm__android_permission_query_all_packages,314,1226,314,1226,264,1001,264.0,1001,264.0,1001,False,False
perm__android_permission_quickboot_poweron,76,1226,76,1226,49,1001,49.0,1001,49.0,1001,False,False
perm__android_permission_read_app_badge,28,1226,28,1226,16,1001,16.0,1001,16.0,1001,False,False
perm__android_permission_read_basic_phone_state,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__android_permission_read_calendar,42,1226,42,1226,28,1001,28.0,1001,28.0,1001,False,False
perm__android_permission_read_call_log,106,1226,106,1226,69,1001,69.0,1001,69.0,1001,False,False
perm__android_permission_read_cell_broadcasts,7,1226,7,1226,7,1001,7.0,1001,7.0,1001,False,False
perm__android_permission_read_clipboard_in_background,11,1226,11,1226,11,1001,11.0,1001,11.0,1001,False,False
perm__android_permission_read_contacts,327,1226,327,1226,249,1001,249.0,1001,249.0,1001,False,False
perm__android_permission_read_external_storage,254,1226,254,1226,170,1001,170.0,1001,170.0,1001,False,False
perm__android_permission_read_history_bookmarks,25,1226,25,1226,25,1001,25.0,1001,25.0,1001,False,False
perm__android_permission_read_install_sessions,59,1226,59,1226,59,1001,59.0,1001,59.0,1001,False,False
perm__android_permission_read_logs,41,1226,41,1226,32,1001,32.0,1001,32.0,1001,False,False
perm__android_permission_read_media_audio,15,1226,15,1226,9,1001,9.0,1001,9.0,1001,False,False
perm__android_permission_read_media_images,21,1226,21,1226,15,1001,15.0,1001,15.0,1001,False,False
perm__android_permission_read_media_video,21,1226,21,1226,15,1001,15.0,1001,15.0,1001,False,False
perm__android_permission_read_phone_numbers,171,1226,171,1226,160,1001,160.0,1001,160.0,1001,False,False
perm__android_permission_read_phone_state,377,1226,377,1226,284,1001,284.0,1001,284.0,1001,False,False
perm__android_permission_read_precise_phone_state,20,1226,20,1226,20,1001,20.0,1001,20.0,1001,False,False
perm__android_permission_read_privileged_phone_state,28,1226,28,1226,17,1001,17.0,1001,17.0,1001,False,False
perm__android_permission_read_profile,5,1226,5,1226,4,1001,4.0,1001,4.0,1001,False,False
perm__android_permission_read_settings,4,1226,4,1226,4,1001,4.0,1001,4.0,1001,False,False
perm__android_permission_read_sms,399,1226,399,1226,295,1001,295.0,1001,295.0,1001,False,False
perm__android_permission_read_sync_settings,93,1226,93,1226,91,1001,91.0,1001,91.0,1001,False,False
perm__android_permission_read_sync_stats,12,1226,12,1226,11,1001,11.0,1001,11.0,1001,False,False
perm__android_permission_real_get_tasks,25,1226,25,1226,25,1001,25.0,1001,25.0,1001,False,False
perm__android_permission_reboot,18,1226,18,1226,18,1001,18.0,1001,18.0,1001,False,False
perm__android_permission_receive_boot_completed,503,1226,503,1226,398,1001,398.0,1001,398.0,1001,False,False
perm__android_permission_receive_launch_broadcasts,18,1226,18,1226,0,1001,,1001,,1001,True,False
perm__android_permission_receive_mms,26,1226,26,1226,13,1001,13.0,1001,13.0,1001,False,False
