column,nonzero_cohort_fused,matrix_rows_cohort_fused,nonzero_after_align,matrix_rows_after_align,nonzero_after_family_support,matrix_rows_after_family_support,nonzero_after_low_information_prune,matrix_rows_after_low_information_prune,nonzero_after_leakage_prune,matrix_rows_after_leakage_prune,dropped_by_low_information_prune,dropped_by_leakage_prune
perm__com_lqfrjz_ktnaepom_permission_write_settings,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_majeur_launcher_permission_update_badge,28,1226,28,1226,16,1001,16.0,1001,16.0,1001,False,False
perm__com_meizu_flyme_launcher_permission_read_settings,4,1226,4,1226,4,1001,4.0,1001,4.0,1001,False,False
perm__com_meizu_flyme_launcher_permission_write_settings,4,1226,4,1226,4,1001,4.0,1001,4.0,1001,False,False
perm__com_meizu_flyme_permission_push,5,1226,5,1226,0,1001,,1001,,1001,True,False
perm__com_mezwyh_owuftjkv_permission_read_settings,3,1226,3,1226,3,1001,3.0,1001,3.0,1001,False,False
perm__com_mezwyh_owuftjkv_permission_write_settings,3,1226,3,1226,3,1001,3.0,1001,3.0,1001,False,False
perm__com_miui_mihome2_permission_read_settings,4,1226,4,1226,4,1001,4.0,1001,4.0,1001,False,False
perm__com_miui_mihome2_permission_write_settings,4,1226,4,1226,4,1001,4.0,1001,4.0,1001,False,False
perm__com_moutai_mall_permission_process_push_msg,5,1226,5,1226,0,1001,,1001,,1001,True,False
perm__com_moutai_mall_permission_push_provider,5,1226,5,1226,0,1001,,1001,,1001,True,False
perm__com_oplus_bootreg_permission_oplus_bootreg_completed,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_oplus_codebook_permission_backup_and_restore,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_oplus_metis_factdata_permission_database,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_oplus_permission_safe_ai_app,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_oplus_permission_safe_app_manager,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_oplus_permission_safe_backup,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_oplus_permission_safe_connectivity,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_oplus_permission_safe_password,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_oplus_permission_safe_power,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_oplus_permission_safe_private,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_oplus_permission_safe_protect,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_oplus_permission_safe_sau,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_oplus_permission_safe_security,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_oplus_permission_safe_settings,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_oplus_permission_safe_settings_search,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_oplus_thirdkit_permission_security,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_oppo_launcher_permission_read_settings,35,1226,35,1226,23,1001,23.0,1001,23.0,1001,False,False
perm__com_oppo_launcher_permission_write_settings,35,1226,35,1226,23,1001,23.0,1001,23.0,1001,False,False
perm__com_oppo_permission_rutilcmd,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_oppo_permission_safe_backup,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_oppo_permission_safe_sau,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_oppo_permission_safe_security,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_ops_tm_permission_c2d_message,9,1226,9,1226,9,1001,9.0,1001,9.0,1001,False,False
perm__com_qihoo360_launcher_permission_read_settings,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__com_qihoo360_launcher_permission_write_settings,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__com_rez_ir_permission_c2d_message,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__com_samsung_android_knox_permission_knox_app_mgmt,11,1226,11,1226,11,1001,11.0,1001,11.0,1001,False,False
perm__com_samsung_android_knox_permission_knox_custom_system,11,1226,11,1226,11,1001,11.0,1001,11.0,1001,False,False
perm__com_samsung_android_knox_permission_knox_remote_control,11,1226,11,1226,11,1001,11.0,1001,11.0,1001,False,False
perm__com_sec_android_app_twlauncher_settings_read_settings,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__com_sec_android_app_twlauncher_settings_write_settings,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__com_sec_android_provider_badge_permission_read,28,1226,28,1226,16,1001,16.0,1001,16.0,1001,False,False
perm__com_sec_android_provider_badge_permission_write,28,1226,28,1226,16,1001,16.0,1001,16.0,1001,False,False
perm__com_sonyericsson_home_permission_broadcast_badge,41,1226,41,1226,29,1001,29.0,1001,29.0,1001,False,False
perm__com_sonymobile_home_permission_provider_insert_badge,41,1226,41,1226,29,1001,29.0,1001,29.0,1001,False,False
perm__com_sxsaxxa_tim_permission_c2d_message,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_tencent_qqlauncher_permission_read_settings,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__com_tencent_qqlauncher_permission_write_settings,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__com_ubuy_maitance_permission_read_settings,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_ubuy_maitance_permission_write_settings,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__com_vivo_permission_manage_permission_access,25,1226,25,1226,25,1001,25.0,1001,25.0,1001,False,False
perm__dangerous_count,541,1226,541,1226,423,1001,423.0,1001,423.0,1001,False,False
perm__dianxin_permission_access_launcher_data,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__edward_org_permission_c2d_message,10,1226,10,1226,10,1001,10.0,1001,10.0,1001,False,False
perm__enflick_permission_nativedialer,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__freemme_permission_msa,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__freemme_permission_msa_security_access,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__heytap_permission_cloud_access_cloud,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__ir_plutus_pluto_permission_c2d_message,3,1226,3,1226,3,1001,3.0,1001,3.0,1001,False,False
perm__ir_seler_sie_permission_c2d_message,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__ir_shz_babsixii_permission_c2d_message,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__ir_shz_shzkisi_permission_c2d_message,26,1226,26,1226,26,1001,26.0,1001,26.0,1001,False,False
perm__me_everything_badger_permission_badge_count_read,28,1226,28,1226,16,1001,16.0,1001,16.0,1001,False,False
perm__me_everything_badger_permission_badge_count_write,28,1226,28,1226,16,1001,16.0,1001,16.0,1001,False,False
perm__mediastore_images_media_external_content_uri,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__mediastore_images_media_internal_content_uri,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__net_dinglisch_android_tasker_permission_run_tasks,3,1226,3,1226,3,1001,3.0,1001,3.0,1001,False,False
perm__net_qihoo_launcher_permission_read_settings,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__net_qihoo_launcher_permission_write_settings,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__normal_count,607,1226,607,1226,489,1001,489.0,1001,489.0,1001,False,False
perm__oem_count,325,1226,325,1226,297,1001,297.0,1001,297.0,1001,False,False
perm__oplus_permission_oplus_component_safe,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__oplus_permission_phone_clone_data_migration,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__oplus_permission_settings_launch_for_export,2,1226,2,1226,2,1001,2.0,1001,2.0,1001,False,False
perm__oppo_permission_oppo_component_safe,28,1226,28,1226,28,1001,28.0,1001,28.0,1001,False,False
perm__org_adw_launcher_donut_permission_read_settings,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__org_adw_launcher_donut_permission_write_settings,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__org_adw_launcher_permission_read_settings,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__org_adw_launcher_permission_write_settings,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__org_adwfreak_launcher_permission_read_settings,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__org_adwfreak_launcher_permission_write_settings,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__rahbar_api_permission_c2d_message,3,1226,3,1226,3,1001,3.0,1001,3.0,1001,False,False
perm__telecom_mdesk_permission_read_settings,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__telecom_mdesk_permission_write_settings,5,1226,5,1226,5,1001,5.0,1001,5.0,1001,False,False
perm__total_count,607,1226,607,1226,489,1001,489.0,1001,489.0,1001,False,False
perm_grp__account_contact_count,464,1226,464,1226,366,1001,366.0,1001,366.0,1001,False,False
perm_grp__network_c2_count,602,1226,602,1226,484,1001,484.0,1001,484.0,1001,False,False
perm_grp__oem_vendor_specific_count,310,1226,310,1226,257,1001,257.0,1001,257.0,1001,False,False
perm_grp__overlay_accessibility_count,299,1226,299,1226,214,1001,214.0,1001,214.0,1001,False,False
perm_grp__package_inventory_count,414,1226,414,1226,320,1001,320.0,1001,320.0,1001,False,False
perm_grp__persistence_autostart_count,531,1226,531,1226,421,1001,421.0,1001,421.0,1001,False,False
perm_grp__sms_telephony_count,403,1226,403,1226,298,1001,298.0,1001,298.0,1001,False,False
perm_grp__storage_file_access_count,359,1226,359,1226,270,1001,270.0,1001,270.0,1001,False,False
perm_grp__surveillance_sensor_count,265,1226,265,1226,192,1001,192.0,1001,192.0,1001,False,False
