sample_id,sha256_x,family_id_x,family_canonical,type_slug,source_batch_label,android_package_name_x,effective_first_seen_at_utc_x,current_gate_reason,sha256_y,family_id_y,family_canonical_current,type_slug_current,source_batch_label_current,android_package_name_y,effective_first_seen_at_utc_y,in_locked_membership,in_current_governed,in_full_catalog
20446,ca3da13d69ce07ed9b31314f2404f9c6a2235067406b545d7b00517258cee9d6,34.0,Octo,banker,,com.atlotzowj,2024-07-23 13:19:24+00:00,below_min_samples_per_family,,,,,,,,True,False,True
20448,795b279f312a773f7f556a978387f1b682f93470db4c1b5f9cd6ca2cab1399b6,107.0,Piom,banker,,com.vijz.kvqwjfq.ikqzrej,2021-09-10 07:11:39+00:00,below_min_samples_per_family,,,,,,,,True,False,True
20450,1981394e719bdfd9e29d57386d8ca05ceecc2ddd31f658255c068d6963df17c1,1.0,Anubis,banker,,com.kghlbqvf.kcanlzw.ksy,2021-10-06 17:17:03+00:00,below_min_samples_per_family,,,,,,,,True,False,True
20452,6f7e57ed7239905fafc3947160b5fc89ad615772d2a694299999d2fe080453f4,18.0,SOVA,banker,,com.armed.little,2023-02-20 05:01:55+00:00,below_min_samples_per_family,,,,,,,,True,False,True
20454,bbaf483c2b6f67f22eb6e1fa00f200e9c1e201b0110070acaefd416cf846b1aa,18.0,SOVA,banker,,com.crop.horse,2023-03-07 17:01:40+00:00,below_min_samples_per_family,,,,,,,,True,False,True
20456,15eae9134dac9268cbf005c23299c88dd5c5176a240201da751691a543375360,18.0,SOVA,banker,,com.civil.concert,2023-03-07 15:08:40+00:00,below_min_samples_per_family,,,,,,,,True,False,True
20458,ec5b083c017570f846f6925b7c79d9e5886525a9b7ba7e514dabad0325c0af5e,18.0,SOVA,banker,,com.royal.bottom,2023-03-12 07:39:07+00:00,below_min_samples_per_family,,,,,,,,True,False,True
20460,f3fc80a8793e60a901da44b9ab315931699e64a4f3eddb8aba839fe860de46dc,18.0,SOVA,banker,,com.card.gift,2023-03-12 08:49:38+00:00,below_min_samples_per_family,,,,,,,,True,False,True
20462,e6e736df1923c47f6624dab18bf6a341995b5e756395256aa0b3f4c43594481a,8.0,EventBot,banker,,com.cff4fcb7fa3ebdc13f.c8b4069c84dcba20f7,2021-02-10 12:37:21+00:00,below_min_samples_per_family,,,,,,,,True,False,True
20506,f4bbe4ba4d356d58894e479edf628ece3e3928d10e7c699d3cba0ce2ecf6613b,50.0,TangleBot,spyware,,,2025-09-13 08:29:45+00:00,below_min_samples_per_family,,,,,,,,True,False,True
20508,85f9dcf4e31a43ac871c044ae1c209dc26ef2499a02edfe7225b885e0c312036,50.0,TangleBot,spyware,,Com.dhnpayopremnhipayo.bedluckorgoodbut.imstillherebutdrunkerman.afosshprkikru.janbakakhah.bhaitusmjhaokharmfulmathonede.plz.bhai.plz.dsti,2025-09-03 10:36:46+00:00,below_min_samples_per_family,,,,,,,,True,False,True
20512,f633b69b4028f9cde42c72b796d3cafb525d935b9ab71a68cc4e74993de7fa03,50.0,TangleBot,spyware,,com.verify.weirdnp,2025-08-07 20:28:18+00:00,below_min_samples_per_family,,,,,,,,True,False,True
20520,4ce84f4efe623a11b395038c8e324e2d744cc53c7aefcb33243bc3f0bba4b64d,50.0,TangleBot,spyware,,com.google.installer,2025-08-07 20:19:16+00:00,below_min_samples_per_family,,,,,,,,True,False,True
20522,d5d9b9fd3a6c5a9f44ce9ee46a32822f3e9261f4df68466fae809d58fa58a1d7,50.0,TangleBot,spyware,,com.dzxxxsofywodwzv.arhxorhznuds,2024-10-21 07:13:28+00:00,below_min_samples_per_family,,,,,,,,True,False,True
20524,bf781f7d66a8ced4929674ea81a87c814f617ef677301b5ee4b4d32c04287b68,50.0,TangleBot,spyware,,com.wrap.false,2025-05-02 05:50:07+00:00,below_min_samples_per_family,,,,,,,,True,False,True
20532,af4affff0dbdbac580b4a7b20780d41b1b7d6d1d61f9e1569b57be0f08998f8b,50.0,TangleBot,spyware,,,2025-04-08 13:07:04+00:00,below_min_samples_per_family,,,,,,,,True,False,True
20536,e95247c166a526f2bebd038ad8e583aebd59c5f212f4f5856b9164eebd07335b,50.0,TangleBot,spyware,,com.install.apk,2025-02-06 08:17:01+00:00,below_min_samples_per_family,,,,,,,,True,False,True
20538,752ac24697f9581e90655bc03fde742ea70aba5ee831ac8bbee113df3b1cab6e,50.0,TangleBot,spyware,,llop.mmyp.ddgy,2025-02-01 16:36:09+00:00,below_min_samples_per_family,,,,,,,,True,False,True
20540,7badeb43e25c4bc7772b4e62d97a7bffc84a02b8f50ea83e8ab8acb598a20bad,50.0,TangleBot,spyware,,tnt.tntn.tntnn,2025-01-27 10:51:28+00:00,below_min_samples_per_family,,,,,,,,True,False,True
20542,6098a436094f1e3e8721fb87ff36781a1a283711cc0388f608723a18132607c4,50.0,TangleBot,spyware,,la.ronilart.popmpa,2023-10-11 00:32:41+00:00,below_min_samples_per_family,,,,,,,,True,False,True
20544,34670aa23c3e50240fab2f820652f3f5d6eabf7177c6d6d4bba6c39a7b11aff9,36.0,SpyNote,rat,,dtlaxmiguptaclasses.in.net,2026-02-03 12:01:11+00:00,outside_time_window,,,,,,,,True,False,True
20546,d19edfbc70474a76b2dd6d8d0e844404f7b4c364c2278a6a668159e83310598a,36.0,SpyNote,rat,,com.serter.penerle,2026-01-01 00:00:00+00:00,outside_time_window,,,,,,,,True,False,True
20548,02944967154e515f87bb411641edd9931ea6b4a4088ab73efe87cbe7b9d5b592,36.0,SpyNote,rat,,com.fees.claim,2026-01-01 12:17:19+00:00,outside_time_window,,,,,,,,True,False,True
20596,41c84420a3c42f854dab18df1edf7ef283e60a2bf5a6a9b608bc6c7a1cf8d41e,165.0,BrowBot,banker,,com.kiwi.exejvdjxcl,2025-06-17 08:08:56+00:00,below_min_samples_per_family,,,,,,,,True,False,True
20600,d501b5fa51370043e858932e895a2ceefb17f69ba12cde70eb4062bf3af522e8,144.0,Mamont,banker,,com.example.application,2024-11-15 15:02:03+00:00,below_min_samples_per_family,,,,,,,,True,False,True
20608,176de2fc14fc8ef65d50f9f806ed9ab094cf4478183f5af3d410df2983dcae85,72.0,Triada,backdoor,,com.whatsappplus,2023-12-12 23:05:01+00:00,below_min_samples_per_family,,,,,,,,True,False,True
20622,1af76b536dcfcf64ad2bcaf13f4760a61588174633a2ad5e64f3d83c6e3b365d,107.0,Piom,banker,,com.ggyydx.cointree,2022-09-02 06:38:13+00:00,below_min_samples_per_family,,,,,,,,True,False,True
20624,39413b2215f225da68530fa312b08f566a7bd64e55fac70d81eefe8e5cfa6ee4,107.0,Piom,banker,,com.ggyydx.cointree,2022-09-03 00:00:00+00:00,below_min_samples_per_family,,,,,,,,True,False,True
20632,486d6a713d8c907df70a919729ac685328ab91a8977c2e352165640c4bd4d507,111.0,UBEL,banker,,hrevxqea.hgistuqw,2021-10-21 00:00:00+00:00,below_min_samples_per_family,,,,,,,,True,False,True
